Clave,Subdireccion,Eje,Indicador,Formula,Meta2026,Base2025,Fuente,Frecuencia,EstadoDato,Vs2025,Compartido,Origen,Nota,Ejemplo
G-01,Objetivos compartidos,02. Entregar mejor,On Time Delivery corporativo (OTIF),"Entregas y servicios completos y en fecha ÷ Comprometidos, todas las unidades",≥ 95%,36%,Power BI · Servicio,Semanal,Existe en sistema,Ajustado,X,Catálogo 2026,Pasa de indicador de Cadena y Talleres a objetivo de todos: la entrega es el negocio.,En agosto se comprometieron 240 entregas y servicios en todas las unidades; 202 llegaron completos y en fecha. OTIF = 84%. No cumple el 95%: faltan 26 entregas para llegar.
G-02,Objetivos compartidos,03. Resultados financieros,EBITDA consolidado SUMIMSA,EBITDA real ÷ EBITDA presupuestado,$40.46 MUSD,96% ($38.7 de $40.5 MUSD),Business Central · P&L,Mensual,Existe en sistema,Se mantiene,X,Catálogo 2026,Disparador del bono corporativo. Mismo rol que en 2025.,Cierre 2025: EBITDA real $38.73 MUSD contra $40.46 MUSD presupuestados = 96%. En 2026 la meta es cerrar en $40.46 MUSD o más; con $39.0 MUSD el cumplimiento sería 96.4% y el bono no se activa al 100%.
G-03,Objetivos compartidos,04. Data correcta y actualizada,Índice de calidad de datos maestros,"Registros completos, únicos y vigentes ÷ Total en los 5 maestros (artículos, clientes, proveedores, activos, empleados)",≥ 95%,Sin medición,Business Central · script de calidad,Mensual,Por construir,Nuevo,X,Propuesta Dirección,Cada subdirección es dueña de un maestro; TI mide y publica el índice.,"De 12,400 registros en los cinco maestros, 11,160 están completos, sin duplicado y vigentes. Índice = 90%. No cumple el 95%: hay 620 registros por corregir, la mayoría artículos sin costo y proveedores sin RFC validado."
TBX-01,TBX,01. Vender más,Ingresos vs. presupuesto TBX,Ingreso facturado de TBX ÷ Presupuesto ($46.2 MUSD),≥ 100%,Meta 2026 $46.2 MUSD,Power BI · P&L TBX,Mensual,Existe en sistema,Se mantiene,,Catálogo 2026,"Catálogo 2026 TBX: ""03. Ingresos vs. presupuesto"".","Presupuesto de julio $3.85 MUSD; se facturaron $3.62 MUSD = 94%. No cumple. Faltaron $230 KUSD, casi todo en consumibles."
TBX-02,TBX,01. Vender más,Cumplimiento a la renta de contenedores,Ingreso por renta de contenedores ÷ Presupuesto ($20 MUSD),≥ 100%,Meta 2026 TBX,Power BI · TBX,Mensual,Existe en sistema,Se mantiene,,Catálogo 2026,"Catálogo 2026 TBX: ""08. Cumplimiento a la Renta de Contenedores"".",Presupuesto de renta $20 MUSD al año = $1.67 MUSD al mes. En julio se facturaron $1.71 MUSD = 103%. Cumple.
TBX-03,TBX,01. Vender más,Cumplimiento a la venta de consumibles,Venta de consumibles ÷ Presupuesto ($2.2 MUSD),≥ 100%,Meta 2026 TBX,Power BI · TBX,Mensual,Existe en sistema,Se mantiene,,Catálogo 2026,"Catálogo 2026 TBX: ""07. Cumplimiento a Venta de Consumibles"".",Presupuesto de consumibles $183 KUSD al mes; en julio se vendieron $151 KUSD = 82%. No cumple.
TBX-04,TBX,01. Vender más,Productividad de contenedores,Contenedores rentados en el mes ÷ Contenedores presupuestados,100%,Meta 2026 TBX,Power BI · TBX,Mensual,Existe en sistema,Se mantiene,,Catálogo 2026,"Catálogo KPIs 2026 TBX: ""08. Productividad de Contenedores"".","El presupuesto de julio era 1,150 contenedores en renta; se rentaron 1,080 = 94%. No cumple: 70 contenedores en patio sin colocar."
TBX-05,TBX,01. Vender más,Contratos ejercidos,Ingreso en contratos de gobierno y Pemex ÷ Presupuesto ($15 MUSD) · contratos con consumo ÷ Contratos vigentes,100% · $15 MUSD,Meta 2026 TBX,Business Central · contratos,Mensual,Existe en sistema,Se mantiene,,Catálogo 2026,"Catálogo 2026 TBX: ""04. Contratos de gobierno"". Son los contratos con gobierno y Pemex; ninguno debe quedar sin ejercer ventas.","De 4 contratos vigentes con gobierno y Pemex, 3 tienen consumo; uno lleva tres meses sin ejercer. Ingreso acumulado $8.1 MUSD contra $8.75 MUSD proporcionales = 93%. No cumple."
TBX-06,TBX,01. Vender más,Incursión en nuevos mercados,"Ingreso de contenedores en segmentos nuevos (Producción y Logística Pemex, minería, construcción) ÷ Ingreso TBX",≥ 10%,Sin dato 2025,Business Central · ventas por cliente,Trimestral,Parcial,Se mantiene,,Catálogo 2026,"Y al menos 2 clientes nuevos en el año. Catálogo KPIs 2026 TBX: ""20. Incursionar en nuevo mercado"".",En el trimestre TBX facturó $11.5 MUSD; $640 KUSD vinieron de un cliente nuevo de logística Pemex = 5.6%. No cumple el 10% y falta el segundo cliente nuevo.
TBX-07,TBX,01. Vender más,Backlog contratado TBX,Meses de ingreso cubiertos por contratos firmados,≥ 12 meses,Sin medición,Contratos · Comercial,Mensual,Parcial,Nuevo,,Propuesta Dirección,Da visibilidad para invertir en flota de contenedores.,Contratos firmados por $38 MUSD contra un ingreso mensual promedio de $3.85 MUSD = 9.9 meses. No cumple los 12: hay que firmar $8 MUSD más.
TBX-08,TBX,01. Vender más,Venta cruzada de TBX hacia líneas de servicio,Clientes de TBX que además compran alguna línea de servicio ÷ Clientes activos de TBX,≥ 25%,Sin medición,Business Central · ventas por cliente,Trimestral,Por construir,Nuevo,,Propuesta Dirección,"TBX es la puerta de entrada: tiene contenedores en casi todas las locaciones. Desde ahí se venden bombas, preventores o cabezales.",TBX tiene 52 clientes activos; 9 de ellos también compraron alguna línea de servicio en el trimestre = 17%. No cumple el 25%: faltan 4 clientes por cruzar.
TBX-09,TBX,02. Entregar mejor,OTIF de entrega de contenedores y consumibles,Entregas completas y en fecha ÷ Entregas comprometidas,≥ 95%,36%,Power BI · Servicio,Semanal,Existe en sistema,Se mantiene,,Catálogo 2026,"Catálogo 2026: ""06. OTIF · Entrega de cara al cliente"".",Se comprometieron 85 entregas de contenedores y consumibles en la semana; 58 llegaron completas y en fecha. OTIF = 68%. No cumple el 95%.
